dataset,variable,type,description,example_values,missing_count,notes
hopebridge_ml.csv,patient_id,string,Synthetic person identifier.,WISER-P00001; WISER-P00002; WISER-P00003; WISER-P00004; WISER-P00005,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,age_at_index,integer,Age at index point.,23; 38; 49; 26; 67,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,race_ethnicity,categorical,Self-reported race/ethnicity category.,Another race/ethnicity; Asian; White; Black; Hispanic/Latino,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,gender_identity,categorical,Self-reported gender identity category.,Woman; Nonbinary; Man; Another gender; Prefer not to say,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,preferred_language,categorical,Preferred language category.,English; Spanish; Other,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,insurance_type_index,categorical,Insurance type at index.,Commercial; Medicare; Uninsured; Medicaid; VA/Tricare,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,county,categorical,Synthetic county label.,Buncombe; Durham; Wake; Forsyth; Robeson,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,region,categorical,Synthetic region label.,Western NC; Triangle; Piedmont; Southeastern NC; Charlotte Metro,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,svi_quartile,integer,"Synthetic area-level social vulnerability quartile, 1 low to 4 high.",4; 2; 1; 3,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,housing_insecure,binary,Housing insecurity indicator.,0; 1,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,food_insecure,binary,Food insecurity indicator.,0; 1,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,transportation_barrier,binary,Transportation barrier indicator.,0; 1,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,primary_substance_category,categorical,Primary substance category.,multiple substances; kratom or emerging substance; benzodiazepines; opioids; alcohol,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,oud_diagnosis_status,categorical,Synthetic OUD diagnosis status.,OUD history; current OUD diagnosis; no OUD diagnosis recorded,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,dsm5_sud_severity,categorical,Synthetic DSM-5 SUD severity.,mild; severe; moderate,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,prior_treatment_episodes,integer,Synthetic count of prior treatment episodes.,2; 5; 0; 1; 3,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,missed_visit_count_90d,integer,Synthetic missed visit count in prior 90 days.,1; 0; 2; 3; 4,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,phq9_score,integer,Synthetic PHQ-9-like score.,7.0; 21.0; 15.0; 4.0; 9.0,55,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,gad7_score,integer,Synthetic GAD-7-like score.,9.0; 11.0; 13.0; 8.0; 2.0,55,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,pain_condition_documented,binary,Pain condition documented indicator.,0.0; 1.0,55,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,currently_receiving_moud,binary,Currently receiving medication for opioid use disorder.,1; 0,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,baseline_positive_toxicology,binary,Baseline toxicology positive indicator using stigma-free wording.,0; 1,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,prior_authorization_required_moud,binary,MOUD prior authorization indicator.,1.0; 0.0,300,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,coverage_gap_flag,binary,Insurance coverage gap indicator.,0.0; 1.0,300,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,network_access_level,categorical,Network access category.,broad; moderate; unknown; limited,300,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,harm_reduction_referral,binary,Harm reduction referral indicator.,0.0; 1.0,55,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,behavioral_health_referral,binary,Behavioral health referral indicator.,1.0; 0.0,55,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,followup_scheduled_days,numeric,Days until scheduled follow-up.,30.0; 14.0; 21.0; 45.0; 60.0,205,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,return_to_use_6mo,binary,Synthetic teaching outcome for return to use within 6 months.,0; 1,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,treatment_reengagement_6mo,binary,Synthetic treatment re-engagement outcome.,0; 1,0,Synthetic data only; not for clinical decision-making.
hopebridge_ml.csv,label_definition,string,Teaching label definition and caution.,synthetic return to use within 6 months; not a clinical outcome definition,0,Synthetic data only; not for clinical decision-making.
